Crm Cd Desc,count
GRAND THEFT / INSURANCE FRAUD,1
HOMICIDE (NON-UCR),1
"MANSLAUGHTER, NEGLIGENT",1
"THEFT, COIN MACHINE - GRAND",1
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),3
TILL TAP - GRAND THEFT ($950.01 & OVER),3
ABORTION/ILLEGAL,4
DISHONEST EMPLOYEE ATTEMPTED THEFT,5
INCITING A RIOT,6
"PICKPOCKET, ATTEMPT",6
SHOTS FROM MOVING VEHICLE,6
GRAND THEFT / AUTO REPAIR,7
BIGAMY,8
"THEFT, COIN MACHINE - ATTEMPT",8
TILL TAP - PETTY,8
LYNCHING - ATTEMPTED,9
PETTY THEFT - AUTO REPAIR,10
BIKE - ATTEMPTED STOLEN,11
CREDIT DD < $200,11
DOCUMENT WORTHLESS ($200 & UNDER),11
PROPERTY MISSING RVD VEH - GRAND,11
PROPERTY MISSING RVD VEH - PETTY ($950 & UNDER),11
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",11
BRIBERY,12
FAILURE TO DISPERSE,12
PURSE SNATCHING - ATTEMPT,12
TELEPHONE PROPERTY - DAMAGE,12
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",12
DRUNK ROLL,13
PROPERTY MISSING RVD VEH - PETTY,13
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",14
PROPERTY MISSING RVD VEH - GRAND THEFT ($950.01 & OVER),14
"THEFT, COIN MACHINE - PETTY",17
"DRUGS, TO A MINOR",18
BATTERY FIREMAN,19
CONSPIRACY,19
DISRUPT SCHOOL,20
NA,20
DOCUMENT WORTHLESS > $100,24
LYNCHING,30
TILL TAP - PETTY ($950 & UNDER),32
CHILD ABANDONMENT,37
DISHONEST EMPLOYEE - PETTY THEFT,44
DISHONEST EMPLOYEE - GRAND THEFT,52
CREDIT CD > $200,58
"EMBEZZLEMENT, PETTY",58
WEAPONS POSSESSION/BOMBING,64
CONTRIBUTING,65
SHOPLIFTING - ATTEMPT,70
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",70
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",71
"CREDIT CARDS, FRAUD USE ($950 & UNDER",74
RECKLESS DRIVING,80
CHILD ANNOYING (17YRS & UNDER),85
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",86
THEFT FROM PERSON - ATTEMPT,93
FAILURE TO YIELD,95
PANDERING,99
BATTERY ON A FIREFIGHTER,116
BOAT - STOLEN,116
DOCUMENT WORTHLESS ($200.01 & OVER),128
SHOPLIFTING-GRAND THEFT (OVER $401),164
SEX OFFENDER REGISTRANT INCIDENT,175
"BUNCO, ATTEMPT",185
FALSE POLICE REPORT,188
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",190
DRIVING WITHOUT OWNER CONSENT (DWOC),192
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",192
ILLEGAL DUMPING,205
PIMPING,233
