Crm Cd Desc,,Binning Simple,SF Binning,count
NA,,MISSING,MISSING,20
RECKLESS DRIVING,,TRAFFIC,TRAFFIC VIOLATION,80
THEFT FROM PERSON - ATTEMPT,,THEFT,LARCENY/THEFT,93
BATTERY ON A FIREFIGHTER,,VIOLENT,ASSAULT,116
BOAT - STOLEN,,THEFT,LARCENY/THEFT,116
DOCUMENT WORTHLESS ($200.01 & OVER),,OTHER,FORGERY/COUNTERFEITING,128
SHOPLIFTING-GRAND THEFT (OVER $401),,THEFT,LARCENY/THEFT,164
SEX OFFENDER REGISTRANT INCIDENT,,SEXUAL,SEX OFFENSES FORCIBLE,175
"BUNCO, ATTEMPT",,THEFT,FRAUD,185
FALSE POLICE REPORT,,FRAUD,FRAUD,188
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",,FRAUD,FRAUD,190
DRIVING WITHOUT OWNER CONSENT (DWOC),,TRAFFIC,VEHICLE THEFT,192
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",,THEFT,LARCENY/THEFT,192
ILLEGAL DUMPING,,OTHER,OTHER OFFENSES,205
PIMPING,,SEXUAL,PROSTITUTION,233
SHOTS INHABITED DWELLING,,WEAPON LAWS,WEAPON LAWS,238
PICKPOCKET,,THEFT,LARCENY/THEFT,248
KIDNAPPING - GRAND ATTEMPT,,KIDNAPPING,KIDNAPPING,316
COUNTERFEIT,,FRAUD,FORGERY/COUNTERFEITING,364
FALSE IMPRISONMENT,,NON VIOLENT,NON-CRIMINAL,373
PROWLER,,SEXUAL,SEX OFFENSES NON FORCIBLE,401
BOMB SCARE,,OTHER,OTHER OFFENSES,423
PURSE SNATCHING,,THEFT,LARCENY/THEFT,435
UNAUTHORIZED COMPUTER ACCESS,,NON VIOLENT,OTHER OFFENSES,447
"RAPE, ATTEMPTED",,SEXUAL,SEX OFFENSES FORCIBLE,450
CHILD STEALING,,KIDNAPPING,FAMILY OFFENSES,458
LEWD CONDUCT,,SEXUAL,PORNOGRAPHY/OBSCENE MAT,476
PEEPING TOM,,SEXUAL,SEX OFFENSES NON FORCIBLE,482
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,,SEXUAL,PORNOGRAPHY/OBSCENE MAT,495
VIOLATION OF TEMPORARY RESTRAINING ORDER,,LEGAL,WARRANTS,498
THEFT FROM MOTOR VEHICLE - ATTEMPT,,THEFT,LARCENY/THEFT,502
CRUELTY TO ANIMALS,,OTHER,OTHER OFFENSES,510
THROWING OBJECT AT MOVING VEHICLE,,OTHER,TRAFFIC VIOLATION,521
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,,VIOLENT,ASSAULT,561
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,,VIOLENT,ASSAULT,593
ORAL COPULATION,,SEXUAL,SEX OFFENSES NON FORCIBLE,619
SEXUAL PENTRATION WITH A FOREIGN OBJECT,,SEXUAL,SEX OFFENSES FORCIBLE,686
EXTORTION,,THREAT,EXTORTION,705
THEFT PLAIN - ATTEMPT,,THEFT,LARCENY/THEFT,734
"EMBEZZLEMENT, GRAND",,THEFT,EMBEZZLEMENT,743
SHOTS FIRED AT INHABITED DWELLING,,WEAPON LAWS,WEAPON LAWS,748
STALKING,,NON VIOLENT,SEX OFFENSES NON FORCIBLE,774
OTHER ASSAULT,,VIOLENT,ASSAULT,817
KIDNAPPING,,KIDNAPPING,KIDNAPPING,868
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),,THEFT,LARCENY/THEFT,955
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",,FRAUD,FRAUD,977
"CHILD ANNOYING (17YRS & UNDER, DID NOT TOUCH VICTIM)",,SEXUAL,SEX OFFENSES NON FORCIBLE,1079
CONTEMPT OF COURT,,LEGAL,OTHER OFFENSES,1105
CHILD ENDANGERMENT/NEG.,,DOMESTIC,FAMILY OFFENSES,1109
CRIMINAL HOMICIDE,,VIOLENT,MURDER,1124
THREATENING PHONE CALLS/LETTERS,,THREAT,OTHER OFFENSES,1161
"BURGLARY FROM VEHICLE, ATTEMPTED",,THEFT,BURGLARY,1170
VEHICLE - ATTEMPT STOLEN,,THEFT,LARCENY/THEFT,1276
ARSON,,PROPERTY,OTHER OFFENSES,1310
INDECENT EXPOSURE,,SEXUAL,PORNOGRAPHY/OBSCENE MAT,1321
DISTURBING THE PEACE,,NON VIOLENT,OTHER OFFENSES,1395
RESISTING ARREST,,OTHER,DISORDERLY CONDUCT,1451
DISCHARGE FIREARMS/SHOTS FIRED,,WEAPON LAWS,WEAPON LAWS,1516
"SEX, UNLAWFUL",,SEXUAL,SEX OFFENSES NON FORCIBLE,1556
"BUNCO, PETTY THEFT",,THEFT,LARCENY/THEFT,1676
BATTERY POLICE,,VIOLENT,ASSAULT,1734
CHILD NEGLECT (SEE 300 W.I.C.),,DOMESTIC,FAMILY OFFENSES,2270
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,THEFT,LARCENY/THEFT,2273
"BUNCO, GRAND THEFT",,THEFT,LARCENY/THEFT,2503
"CHILD, CRIME AGAINST",,OTHER,OTHER OFFENSES,3272
BRANDISH WEAPON,,WEAPON LAWS,WEAPON LAWS,3386
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,,VIOLENT,ASSAULT,3389
"RAPE, FORCIBLE",,SEXUAL,SEX OFFENSES FORCIBLE,3613
SHOPLIFTING - PETTY THEFT,,THEFT,LARCENY/THEFT,3654
SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,,DOMESTIC,FAMILY OFFENSES,3686
BATTERY WITH SEXUAL CONTACT,,SEXUAL,SEX OFFENSES FORCIBLE,4112
ATTEMPTED ROBBERY,,THEFT,ROBBERY,4376
BIKE - STOLEN,,THEFT,LARCENY/THEFT,4475
"BURGLARY, ATTEMPTED",,THEFT,BURGLARY,5078
"THEFT, PERSON",,THEFT,LARCENY/THEFT,5430
"THREATS, VERBAL/TERRORIST",,THREAT,THREAT,5585
THEFT-GRAND (OVER $400 OR $100 IF FOWL),,THEFT,LARCENY/THEFT,6705
VIOLATION OF RESTRAINING ORDER,,LEGAL,WARRANTS,7181
TRESPASSING,,NON VIOLENT,TRESPASS,7382
